requirement_id,requirement,status,specification_file,required_tests,evidence,notes
REQ-071,Handle automatic endings with bounded restart intent and fatal-error exclusions.,PASS,07_WEB_SPEECH_API_DESIGN.md,WEB-04,Speech controller source inspection and mocked Chromium event test,Implemented and verified locally by the cited evidence.
REQ-072,"Stop capture/restarts on background, pagehide, mode change and user stop.",PASS,07_WEB_SPEECH_API_DESIGN.md,"WEB-07, LIFE-02",Speech controller source inspection and mocked Chromium event test,Implemented and verified locally by the cited evidence.
REQ-073,"Handle permission denial, unavailable service, no-speech/network/language errors with plain messages.",PASS,07_WEB_SPEECH_API_DESIGN.md,"WEB-02, WEB-06, REC-01",Speech controller source inspection and mocked Chromium event test,Implemented and verified locally by the cited evidence.
REQ-074,Disclose browser-controlled local/remote processing and no equal reliability guarantee across browsers.,PASS,07_WEB_SPEECH_API_DESIGN.md,"WEB-08, UX-01",Speech controller source inspection and mocked Chromium event test,Implemented and verified locally by the cited evidence.
REQ-075,No browser language-pack installation or local-model inference dependency.,PASS,07_WEB_SPEECH_API_DESIGN.md,"WEB-08, ARCH-03",Speech controller source inspection and mocked Chromium event test,Implemented and verified locally by the cited evidence.
REQ-076,Mode A does not pretend to support file upload/pre-recorded playback; Mode B owns those features.,PASS,07_WEB_SPEECH_API_DESIGN.md,"WEB-01, REC-03",Speech controller source inspection and mocked Chromium event test,Implemented and verified locally by the cited evidence.
REQ-077,Support getUserMedia and MediaRecorder microphone recording in capable browsers.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-01, REC-02",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-078,"Support stop, pre-transcription playback, remove, replace and deliberate retry.",PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-03, REC-09",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-079,Support audio file upload with visible duration/unknown duration and file size.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-05, REC-06",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-080,Show selected provider and model alongside audio before sending.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"E2E-02, UX-01",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-081,"Use isTypeSupported and validate actual output MIME, not browser-name assumptions.",PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,REC-02,Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-082,Document WebM/WAV/MP3/M4A and other provider-specific container compatibility.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-05, PACK-03",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-083,"Enforce audio bytes, multipart bytes and recording duration limits at both appropriate boundaries.",PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"API-03, REC-04, REC-06",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-084,Measure duration where reliable and disclose unknown duration instead of trusting client metadata.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-06, API-08",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-085,No FFmpeg/transcoding/chunking unless a later verified constraint explicitly justifies it.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"ARCH-05, REC-02",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-086,"Stop and release tracks on phone call, screen lock, hidden tab and hardware interruption.",PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,REC-07,Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-087,"Handle denied/ignored permissions, no microphone and late grants after cancellation.",PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,REC-01,Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-088,Reject empty recordings/files; handle silence/noise without invented confidence.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-05, REC-08",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-089,"Bound slow uploads, cancel requests and disable duplicate submissions.",PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"API-06, API-07, REC-09",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-090,Preserve old transcript/audio on failure and stage append/replace choice for new text.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"E2E-03, UX-05",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-091,Revoke object URLs and never persist recordings to browser/cloud storage.,PASS,08_AUDIO_RECORDING_AND_UPLOAD.md,"REC-03, LIFE-03",Recorder/upload source inspection and Chromium/API tests,Implemented and verified locally by the cited evidence.
REQ-092,"Templates are formatting aids, not legal advice or strategy.",PASS,10_TEMPLATE_AND_FIELD_MODEL.md,UX-09,"Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-093,"Never invent case numbers, names, dates, parties, objections, status or legal claims.",PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"UX-09, TPL-10","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-094,Do not submit to a court or sign digitally on anyone's behalf.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"UX-09, ARCH-02","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-095,"Offer static templates with clear approval/example status, not assumed court approval.",PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"UX-09, TPL-01","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-096,User manually copies/confirms transcript information into labelled editable fields.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"UX-09, UX-08","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-097,Support all example legal field categories and repeatable item/status fields through configuration.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"TPL-03, E2E-04","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-098,No LLM extraction or inference is required for the zero-cost MVP.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"ARCH-03, UX-09","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-099,Show preview and require explicit review before generating a document.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"UX-08, DOC-05","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-100,Return editable DOCX immediately with no permanent result URL.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"DOC-01, DOC-06, LIFE-03","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-101,"Preserve fonts, margins, spacing, alignment and safe repeated paragraphs/table rows.",PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"DOC-02, TPL-07","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-102,Escape unsafe values and reject missing bindings/malformed templates before rendering.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"SEC-06, TPL-06","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-103,Generate in memory where practical and close/delete temporary data on every path.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"DOC-03, API-07","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-104,Use print-ready HTML and browser Print / Save as PDF; do not label it automatic server conversion.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,DOC-04,"Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-105,Research converter package/timeout/temp/native/cold-start/free limits and retain unverified status when not measured.,PASS,10_TEMPLATE_AND_FIELD_MODEL.md,"PACK-03, DEP-05","Document workflow, preview, DOCX content and metadata tests",Implemented and verified locally by the cited evidence.
REQ-106,Each independent template is a DOCX file plus a matching JSON configuration conforming to a bundled schema.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-01, TPL-03",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-107,Templates and field names are never hard-coded in frontend/backend source.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-06, E2E-04",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-108,"Placeholder mappings, labels, defaults and validation rules are data, not template-specific code.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-03, TPL-06, E2E-04",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-109,"Repeatable sections, numbering styles/start/prefix/suffix and output filenames are configurable.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-14, TPL-11, E2E-04",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-110,Support both built-in public pairs and temporary user-uploaded pairs.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-01, E2E-02",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-111,Custom templates remain browser-session-only except transient validation/generation and never enter public catalog/storage.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"LIFE-03, TPL-01",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-112,Supply exact asset/manifest/schema folder structure and static-only addition/replacement instructions.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-13, PACK-01",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-113,"Supply complete JSON Schema 2020-12 with local references, additional-property restrictions and semantic rules.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"PACK-02, TPL-03",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-114,"Supply complete fictional paragraph/table configurations and values, with no real personal/legal data.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"PACK-02, TPL-07",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-115,Document exact scalar/row/paragraph/table placeholder syntax and single-run restriction.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-05, TPL-07",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-116,Support generic text/textarea/date/integer/select/nullable-boolean fields with Unicode-safe validation.,PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-03, TPL-10",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-117,"Document paragraph and dynamic table repeats, row ordering and no nested repeats.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"TPL-07, TPL-14",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
REQ-118,"Form fields and semantic preview are constructed from validated config, not hard-coded HTML.",PASS,TEMPLATE_SYSTEM_SPECIFICATION.md,"E2E-04, TPL-08",Schema/pair/OOXML tests and two manifest-only fictional assets,Implemented and verified locally by the cited evidence.
