edge_id,failure_mode,status,evidence
EDGE-041,Template DOCX chosen without JSON,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-042,Invalid template JSON or unknown schema version,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-043,ZIP bomb or active Word feature,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-044,Forbidden Jinja expression or split tag,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-045,Repeat row limit or invalid typed value,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-046,Unsafe output filename,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-047,Template replaced while generation in flight,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-048,Backend cold start or temporary suspension,UNVERIFIED_EXTERNAL_ENVIRONMENT,Requires deployed service/account or physical-device behavior.
EDGE-049,Hosting signup demands payment or paid default,UNVERIFIED_EXTERNAL_ENVIRONMENT,Requires deployed service/account or physical-device behavior.
EDGE-050,Back-forward cache restores a page,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-051,Wrong production CORS origin,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-052,Cross-request credential contamination attempt,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-053,Free bandwidth or service-initiated traffic suspension,UNVERIFIED_EXTERNAL_ENVIRONMENT,Requires deployed service/account or physical-device behavior.
EDGE-054,Print canceled or PDF destination missing,UNVERIFIED_EXTERNAL_ENVIRONMENT,Requires deployed service/account or physical-device behavior.
EDGE-055,Download blocked/canceled,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-056,Catalog entry missing one asset,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-057,Invalid XML character or lone surrogate in value,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-058,Provider response grows beyond allowed bytes,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-059,Document child hangs or pipe blocks,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
EDGE-060,User text edited before late transcription result,PASS,Automated unit/integration/Chromium coverage or deliberate source/contract inspection.
